"","local","corte","gen","block","peso"
"179","AC","3","PM40","2",1123.92635633164
"180","AC","3","PM32","2",1160.19095595977
"181","AC","3","PM34","2",1004.27688970442
"182","AC","3","MILE","2",935.292368974311
"183","AC","3","MASS","2",1291.94563715125
"184","AC","3","ARUA","2",787.213313636674
"185","AC","3","PM39","3",573.365643677194
"186","AC","3","PM35","3",569.817807651729
"187","AC","3","PM30","3",873.261842490197
"188","AC","3","PM44","3",1029.61990530078
"189","AC","3","PM36","3",949.398204164809
"190","AC","3","PM31","3",1025.5551930397
"191","AC","3","PM47","3",1120.19454516548
"192","AC","3","PM43","3",975.058434850022
"193","AC","3","PM38","3",623.42187237779
"194","AC","3","PM40","3",560.040676514665
"195","AC","3","MASS","3",1197.4072394281
"196","AC","3","PM46","3",746.610353469197
"197","AC","3","TANZ","3",1010.75919488434
"198","AC","3","MILE","3",1234.58394636459
"199","AC","3","PM45","3",922.332945626775
"200","AC","3","PM32","3",1193.90627482129
"201","AC","3","PM37","3",989.765649799144
"202","AC","3","PM42","3",1048.04104477612
"203","AC","3","PM33","3",971.978129271627
"204","AC","3","MOMB","3",999.041242809321
"205","AC","3","PM34","3",601.976840893097
"206","AC","3","PM41","3",1841.15709689732
"207","AC","3","ARUA","3",910.715651879297
"208","AC","4","PM30","1",1071.50760702083
"209","AC","4","PM31","1",1151.52296812192
"210","AC","4","PM32","1",901.415768281595
"211","AC","4","PM33","1",1175.41535574322
"212","AC","4","MOMB","1",1114.86858022655
"213","AC","4","PM34","1",1097.9736966114
"214","AC","4","PM35","1",864.108396795569
"215","AC","4","PM36","1",1620.12970345181
"216","AC","4","PM37","1",938.925753524149
"217","AC","4","TANZ","1",814.82672497883
"218","AC","4","PM38","1",1164.92233864287
"219","AC","4","PM39","1",1054.3849348729
"220","AC","4","PM40","1",1347.94652923176
"221","AC","4","PM41","1",1274.33334926281
"222","AC","4","MASS","1",1282.66684062887
"223","AC","4","PM42","1",773.536816490804
"224","AC","4","PM43","1",686.38679063979
"225","AC","4","PM44","1",885.321924681772
"226","AC","4","PM45","1",879.296875
"227","AC","4","MILE","1",1250.17444414169
"228","AC","4","PM46","1",918.519386080339
"229","AC","4","PM47","1",1216.85946017817
"230","AC","4","ARUA","1",554.864941072682
"231","AC","4","PM39","2",1187.20318316006
"232","AC","4","PM33","2",1185.86070643348
"233","AC","4","PM41","2",1421.87138752188
"234","AC","4","PM37","2",1099.90601709178
"235","AC","4","PM45","2",944.879686046921
"236","AC","4","PM36","2",1098.94037160516
"237","AC","4","MOMB","2",1024.15426924224
"238","AC","4","PM31","2",1309.31735771717
"239","AC","4","PM47","2",928.731332663067
"240","AC","4","PM43","2",684.923567509569
"241","AC","4","PM35","2",1119.31107049898
"242","AC","4","PM30","2",1663.6971525723
"243","AC","4","PM42","2",1288.62304301355
"244","AC","4","PM38","2",1074.24281308979
"245","AC","4","PM46","2",1005.89201041228
"246","AC","4","TANZ","2",1137.93907108374
"247","AC","4","PM44","2",1028.98628119475
"248","AC","4","PM40","2",1231.50438253927
"249","AC","4","PM32","2",1144.70485124757
"250","AC","4","PM34","2",1238.47546921304
"251","AC","4","MILE","2",1129.37706499637
"252","AC","4","MASS","2",1601.2012012012
"253","AC","4","ARUA","2",738.521345439765
"254","AC","4","PM39","3",1225.69114222936
"255","AC","4","PM35","3",781.627652882164
"256","AC","4","PM30","3",923.648176691175
"257","AC","4","PM44","3",1017.58316311908
"258","AC","4","PM36","3",1380.86167756748
"259","AC","4","PM31","3",1184.3568808425
"260","AC","4","PM47","3",1025.36068530207
"261","AC","4","PM43","3",952.640845070423
"262","AC","4","PM38","3",1015.46007500647
"263","AC","4","PM40","3",912.986220409212
"264","AC","4","MASS","3",1356.83690640093
"265","AC","4","PM46","3",679.891766038448
"266","AC","4","TANZ","3",846.396169354839
"267","AC","4","MILE","3",510.06375076027
"268","AC","4","PM45","3",696.113814326685
