local,gen,block,peso,corte
AC,PM34,1,848.5368188756604,3
AC,PM35,1,566.6712048112905,3
AC,PM36,1,1006.3635026070514,3
AC,PM37,1,971.1302047475026,3
AC,TANZ,1,932.1329010775336,3
AC,PM38,1,922.0964712764927,3
AC,PM39,1,872.7568514530524,3
AC,PM40,1,1022.5542008184373,3
AC,PM41,1,1789.433387822385,3
AC,MASS,1,981.8216936651905,3
AC,PM42,1,1058.008515015129,3
AC,PM43,1,871.3740085418507,3
AC,PM44,1,1022.647472658895,3
AC,PM45,1,980.095431341854,3
AC,MILE,1,1391.4346056274971,3
AC,PM46,1,1028.3981840992963,3
AC,PM47,1,1360.7732192034869,3
AC,ARUA,1,483.39589392521157,3
AC,PM39,2,871.6157705534421,3
AC,PM33,2,896.2890125589572,3
AC,PM41,2,1924.3566676331297,3
AC,PM37,2,1121.0512135620538,3
AC,PM45,2,1063.542000009939,3
AC,PM36,2,922.2254890469247,3
AC,MOMB,2,1079.447812800293,3
AC,PM31,2,1077.163157910849,3
AC,PM47,2,1083.6985499964917,3
AC,PM43,2,877.6969757157455,3
AC,PM35,2,974.0877163214104,3
AC,PM30,2,1538.2788009384597,3
AC,PM42,2,1426.7966981414463,3
AC,PM38,2,1300.4402606265944,3
AC,PM46,2,1133.122247241063,3
AC,TANZ,2,1115.333679687138,3
AC,PM44,2,1088.9650215831432,3
AC,PM40,2,1123.9263563316424,3
AC,PM32,2,1160.1909559597705,3
AC,PM34,2,1004.2768897044209,3
AC,MILE,2,935.2923689743111,3
AC,MASS,2,1291.9456371512545,3
AC,ARUA,2,787.2133136366742,3
AC,PM39,3,573.3656436771945,3
AC,PM35,3,569.817807651729,3
AC,PM30,3,873.2618424901974,3
AC,PM44,3,1029.6199053007822,3
AC,PM36,3,949.3982041648092,3
AC,PM31,3,1025.5551930396955,3
AC,PM47,3,1120.1945451654774,3
AC,PM43,3,975.0584348500216,3
AC,PM38,3,623.4218723777905,3
AC,PM40,3,560.0406765146649,3
AC,MASS,3,1197.4072394281025,3
AC,PM46,3,746.6103534691965,3
AC,TANZ,3,1010.7591948843398,3
AC,MILE,3,1234.5839463645927,3
AC,PM45,3,922.3329456267749,3
AC,PM32,3,1193.9062748212866,3
AC,PM37,3,989.7656497991441,3
AC,PM42,3,1048.0410447761194,3
AC,PM33,3,971.9781292716267,3
AC,MOMB,3,999.0412428093209,3
AC,PM34,3,601.9768408930969,3
AC,PM41,3,1841.1570968973226,3
AC,ARUA,3,910.7156518792965,3
AC,PM30,1,1071.5076070208336,4
AC,PM31,1,1151.5229681219237,4
AC,PM32,1,901.4157682815951,4
AC,PM33,1,1175.4153557432248,4
AC,MOMB,1,1114.8685802265477,4
AC,PM34,1,1097.973696611404,4
AC,PM35,1,864.1083967955693,4
AC,PM36,1,1620.129703451811,4
AC,PM37,1,938.9257535241491,4
AC,TANZ,1,814.8267249788296,4
AC,PM38,1,1164.9223386428682,4
AC,PM39,1,1054.3849348728988,4
AC,PM40,1,1347.9465292317605,4
AC,PM41,1,1274.3333492628076,4
AC,MASS,1,1282.6668406288736,4
AC,PM42,1,773.5368164908041,4
AC,PM43,1,686.3867906397895,4
AC,PM44,1,885.3219246817723,4
AC,PM45,1,879.2968750000001,4
AC,MILE,1,1250.1744441416868,4
AC,PM46,1,918.5193860803386,4
AC,PM47,1,1216.8594601781679,4
AC,ARUA,1,554.8649410726824,4
AC,PM39,2,1187.2031831600566,4
AC,PM33,2,1185.8607064334847,4
AC,PM41,2,1421.8713875218812,4
AC,PM37,2,1099.9060170917755,4
AC,PM45,2,944.8796860469206,4
AC,PM36,2,1098.9403716051631,4
AC,MOMB,2,1024.1542692422383,4
AC,PM31,2,1309.3173577171685,4
AC,PM47,2,928.731332663067,4
AC,PM43,2,684.9235675095692,4
AC,PM35,2,1119.3110704989754,4
AC,PM30,2,1663.6971525722952,4
AC,PM42,2,1288.6230430135502,4
AC,PM38,2,1074.2428130897897,4
AC,PM46,2,1005.8920104122788,4
AC,TANZ,2,1137.9390710837356,4
AC,PM44,2,1028.986281194753,4
AC,PM40,2,1231.5043825392693,4
AC,PM32,2,1144.704851247569,4
AC,PM34,2,1238.4754692130393,4
AC,MILE,2,1129.3770649963685,4
AC,MASS,2,1601.2012012012012,4
AC,ARUA,2,738.5213454397649,4
AC,PM39,3,1225.691142229364,4
AC,PM35,3,781.62765288216406,4
AC,PM30,3,923.6481766911754,4
AC,PM44,3,1017.583163119075,4
AC,PM36,3,1380.8616775674777,4
AC,PM31,3,1184.3568808425039,4
AC,PM47,3,1025.360685302074,4
AC,PM43,3,952.6408450704225,4
AC,PM38,3,1015.460075006467,4
AC,PM40,3,912.9862204092123,4
AC,MASS,3,1356.8369064009266,4
AC,PM46,3,679.8917660384482,4
AC,TANZ,3,846.3961693548387,4
AC,MILE,3,510.0637507602701,4
AC,PM45,3,696.1138143266845,4
AC,PM32,3,1063.345430550973,4
AC,PM37,3,1015.0776425193712,4
AC,PM42,3,1152.0643184289431,4
AC,PM33,3,1033.1041507512098,4
AC,MOMB,3,958.726816052998,4
AC,PM34,3,743.9387563525718,4
AC,PM41,3,1062.8030899127207,4
AC,ARUA,3,861.8414723369518,4
AC,PM30,1,751.3992743576807,5
AC,PM31,1,920.5841037535527,5
AC,PM32,1,928.7703079459523,5
AC,PM33,1,974.3353643864045,5
AC,MOMB,1,861.8909173485807,5
AC,PM34,1,797.2979981427545,5
AC,PM35,1,761.5787431687364,5
AC,PM36,1,1302.8029498354636,5
AC,PM37,1,731.2677393941356,5
AC,TANZ,1,654.8242049948535,5
AC,PM38,1,859.5137613532384,5
AC,PM39,1,914.6376049716727,5
AC,PM40,1,1116.7441205464017,5
AC,PM41,1,1097.4720476680857,5
AC,MASS,1,1067.3872518559704,5
AC,PM42,1,720.7439938000517,5
AC,PM43,1,686.4265085879313,5
AC,PM44,1,786.7489608263005,5
AC,PM45,1,705.8916693063035,5
AC,MILE,1,808.2956357279962,5
AC,PM46,1,925.8433053605086,5
AC,PM47,1,1022.5413858535626,5
AC,ARUA,1,301.68715839703856,5
AC,PM39,2,1205.3492484526969,5
AC,PM33,2,995.5321499272675,5
AC,PM41,2,996.2020038555843,5
AC,PM37,2,841.855598564443,5
AC,PM45,2,703.5233740171727,5
AC,PM36,2,1066.3634126047743,5
AC,MOMB,2,756.5478909700016,5
AC,PM31,2,1070.6748664832498,5
AC,PM47,2,899.5352739947073,5
AC,PM43,2,613.2309670828735,5
AC,PM35,2,1265.5753324216507,5
AC,PM30,2,1139.3989513083202,5
AC,PM42,2,985.6834673465386,5
AC,PM38,2,791.0160521366402,5
AC,PM46,2,959.411488793479,5
AC,TANZ,2,838.8340080971658,5
AC,PM44,2,934.2079530638854,5
AC,PM40,2,1366.7707520166541,5
AC,PM32,2,969.0511666990916,5
AC,PM34,2,1021.3333764637382,5
AC,MILE,2,834.4985182116714,5
AC,MASS,2,1317.1439607129062,5
AC,ARUA,2,543.8457451541494,5
AC,PM39,3,1109.3895191788222,5
AC,PM35,3,824.5712623302918,5
AC,PM30,3,704.8428784900577,5
AC,PM44,3,869.3901049832169,5
AC,PM36,3,1309.4097215304207,5
AC,PM31,3,1086.5683186916406,5
AC,PM47,3,904.3340725280461,5
AC,PM43,3,714.9936792930289,5
AC,PM38,3,703.6530183332138,5
AC,PM40,3,842.3343224530167,5
AC,MASS,3,1194.5314900937478,5
AC,PM46,3,654.3032455998708,5
AC,TANZ,3,679.1654267103132,5
AC,MILE,3,666.4903610876792,5
AC,PM45,3,750.5161809132597,5
AC,PM32,3,962.566101630337,5
AC,PM37,3,906.5859817664231,5
AC,PM42,3,837.4782814694616,5
AC,PM33,3,1084.8783777760148,5
AC,MOMB,3,697.8978300180831,5
AC,PM34,3,697.1401324273654,5
AC,PM41,3,861.3405366165466,5
AC,ARUA,3,609.9265352517992,5
AC,PM30,1,1175.0132711575855,6
AC,PM31,1,1193.342965698079,6
AC,PM32,1,1368.3820679524058,6
AC,PM33,1,1273.6528008881285,6
AC,MOMB,1,1274.2882964301853,6
AC,PM34,1,991.0159239341235,6
AC,PM35,1,1006.366475895329,6
AC,PM36,1,1541.3598856243675,6
AC,PM37,1,783.8839542462778,6
AC,TANZ,1,1068.3098823606945,6
AC,PM38,1,999.8607144524299,6
AC,PM39,1,1202.7696649492993,6
AC,PM40,1,1836.5072826359285,6
AC,PM41,1,1488.9268868448783,6
AC,MASS,1,1652.6582727041186,6
AC,PM42,1,1101.6281341582546,6
AC,PM43,1,808.9149344109313,6
AC,PM44,1,1005.6017386579734,6
AC,PM45,1,912.7579737335833,6
AC,MILE,1,1375.626656395221,6
AC,PM46,1,1224.429847559534,6
AC,PM47,1,1231.7696237807709,6
AC,ARUA,1,343.46359311281066,6
AC,PM39,2,1735.033950419796,6
AC,PM33,2,1408.9002277337634,6
AC,PM41,2,1525.5472050545668,6
AC,PM37,2,1041.4231257941549,6
AC,PM45,2,872.5283882588145,6
AC,PM36,2,1232.4623435468038,6
AC,MOMB,2,1198.2024768636343,6
AC,PM31,2,1321.6325299518667,6
AC,PM47,2,1187.228198672465,6
AC,PM43,2,831.8820258273022,6
AC,PM35,2,1572.6308805984602,6
AC,PM30,2,1743.9729128764911,6
AC,PM42,2,1312.4605538321875,6
AC,PM38,2,1217.8867125473798,6
AC,PM46,2,1499.4490743861418,6
AC,TANZ,2,1234.7203464317106,6
AC,PM44,2,1330.1413948852892,6
AC,PM40,2,1782.5883173648122,6
AC,PM32,2,1643.9543778109257,6
AC,PM34,2,1352.4691358024693,6
AC,MILE,2,1284.516651079256,6
AC,MASS,2,1660.168373045101,6
AC,ARUA,2,439.7041550159013,6
AC,PM39,3,1559.1620626151014,6
AC,PM35,3,1057.856562123664,6
AC,PM30,3,1244.7630590865356,6
AC,PM44,3,1106.6354359109703,6
AC,PM36,3,1709.3355086081172,6
AC,PM31,3,1343.1340520527056,6
AC,PM47,3,1122.2452765411908,6
AC,PM43,3,999.7864933699988,6
AC,PM38,3,848.3065438213457,6
AC,PM40,3,1184.0532554201666,6
AC,MASS,3,1579.8535269176414,6
AC,PM46,3,1193.1048030645322,6
AC,TANZ,3,988.6029411764706,6
AC,MILE,3,1197.4600182608003,6
AC,PM45,3,860.4002733143778,6
AC,PM32,3,1614.3536679313206,6
AC,PM37,3,915.3375240979086,6
AC,PM42,3,1264.6050861571966,6
AC,PM33,3,1268.280002058057,6
AC,MOMB,3,1115.6193895870738,6
AC,PM34,3,902.0446056523523,6
AC,PM41,3,1353.2330140881438,6
AC,ARUA,3,716.2254140998443,6
AC,PM30,1,2171.452584977986,7
AC,PM31,1,1957.4207558590754,7
AC,PM32,1,1693.888147926455,7
AC,PM33,1,1601.7176206548675,7
AC,MOMB,1,1844.2650866331958,7
AC,PM34,1,1338.3391018141772,7
AC,PM35,1,1398.8224352801249,7
AC,PM36,1,1879.7510126991654,7
AC,PM37,1,1438.24272529765,7
AC,TANZ,1,1775.9357355718957,7
AC,PM38,1,1475.5450234605441,7
AC,PM39,1,1752.4793489803283,7
AC,PM40,1,2288.6244759401125,7
AC,PM41,1,2406.734020155849,7
AC,MASS,1,2257.9209690895354,7
AC,PM42,1,1838.4169263112697,7
AC,PM43,1,851.0935497423552,7
AC,PM44,1,1944.7420882686756,7
AC,PM45,1,1196.3432237369689,7
AC,MILE,1,1833.1714843908321,7
AC,PM46,1,2011.1254716182113,7
AC,PM47,1,2233.6870179688676,7
AC,ARUA,1,343.23490943258315,7
AC,PM39,2,2269.426653381977,7
AC,PM33,2,1995.4239234871034,7
AC,PM41,2,1981.428109215977,7
AC,PM37,2,1524.94232740825,7
AC,PM45,2,1123.504677466671,7
AC,PM36,2,1638.3641411003543,7
AC,MOMB,2,1682.049685867495,7
AC,PM31,2,2045.1194607128223,7
AC,PM47,2,1727.9395729288578,7
AC,PM43,2,977.2877974950688,7
AC,PM35,2,2219.665159467258,7
AC,PM30,2,2188.0429768400654,7
AC,PM42,2,2233.894380607826,7
AC,PM38,2,1353.952369486616,7
AC,PM46,2,2204.598613183739,7
AC,TANZ,2,2014.1279018622197,7
AC,PM44,2,1653.0445071618628,7
AC,PM40,2,2528.617565658988,7
AC,PM32,2,2639.989392734022,7
AC,PM34,2,2089.4048269056307,7
AC,MILE,2,1757.289474726842,7
AC,MASS,2,2830.0867888138864,7
AC,ARUA,2,608.9174501800422,7
AC,PM39,3,2142.275687270505,7
AC,PM35,3,1471.3921111264135,7
AC,PM30,3,1882.7636452083084,7
AC,PM44,3,1785.1919243820098,7
AC,PM36,3,1917.2936397294254,7
