local,corte,gen,block,peso
AC,4,MASS,3,1356.8369064009266
AC,4,PM46,3,679.8917660384482
AC,4,TANZ,3,846.3961693548387
AC,4,MILE,3,510.0637507602701
AC,4,PM45,3,696.1138143266845
AC,4,PM32,3,1063.345430550973
AC,4,PM37,3,1015.0776425193712
AC,4,PM42,3,1152.0643184289431
AC,4,PM33,3,1033.1041507512098
AC,4,MOMB,3,958.726816052998
AC,4,PM34,3,743.9387563525718
AC,4,PM41,3,1062.8030899127207
AC,4,ARUA,3,861.8414723369518
AC,5,PM30,1,751.3992743576807
AC,5,PM31,1,920.5841037535527
AC,5,PM32,1,928.7703079459523
AC,5,PM33,1,974.3353643864045
AC,5,MOMB,1,861.8909173485807
AC,5,PM34,1,797.2979981427545
AC,5,PM35,1,761.5787431687364
AC,5,PM36,1,1302.8029498354636
AC,5,PM37,1,731.2677393941356
AC,5,TANZ,1,654.8242049948535
AC,5,PM38,1,859.5137613532384
AC,5,PM39,1,914.6376049716727
AC,5,PM40,1,1116.7441205464017
AC,5,PM41,1,1097.4720476680857
AC,5,MASS,1,1067.3872518559704
AC,5,PM42,1,720.7439938000517
AC,5,PM43,1,686.4265085879313
AC,5,PM44,1,786.7489608263005
AC,5,PM45,1,705.8916693063035
AC,5,MILE,1,808.2956357279962
AC,5,PM46,1,925.8433053605086
AC,5,PM47,1,1022.5413858535626
AC,5,ARUA,1,301.68715839703856
AC,5,PM39,2,1205.3492484526969
AC,5,PM33,2,995.5321499272675
AC,5,PM41,2,996.2020038555843
AC,5,PM37,2,841.855598564443
AC,5,PM45,2,703.5233740171727
AC,5,PM36,2,1066.3634126047743
AC,5,MOMB,2,756.5478909700016
AC,5,PM31,2,1070.6748664832498
AC,5,PM47,2,899.5352739947073
AC,5,PM43,2,613.2309670828735
AC,5,PM35,2,1265.5753324216507
AC,5,PM30,2,1139.3989513083202
AC,5,PM42,2,985.6834673465386
AC,5,PM38,2,791.0160521366402
AC,5,PM46,2,959.411488793479
AC,5,TANZ,2,838.8340080971658
AC,5,PM44,2,934.2079530638854
AC,5,PM40,2,1366.7707520166541
AC,5,PM32,2,969.0511666990916
AC,5,PM34,2,1021.3333764637382
AC,5,MILE,2,834.4985182116714
AC,5,MASS,2,1317.1439607129062
AC,5,ARUA,2,543.8457451541494
AC,5,PM39,3,1109.3895191788222
AC,5,PM35,3,824.5712623302918
AC,5,PM30,3,704.8428784900577
AC,5,PM44,3,869.3901049832169
AC,5,PM36,3,1309.4097215304207
AC,5,PM31,3,1086.5683186916406
AC,5,PM47,3,904.3340725280461
AC,5,PM43,3,714.9936792930289
AC,5,PM38,3,703.6530183332138
AC,5,PM40,3,842.3343224530167
AC,5,MASS,3,1194.5314900937478
AC,5,PM46,3,654.3032455998708
AC,5,TANZ,3,679.1654267103132
AC,5,MILE,3,666.4903610876792
AC,5,PM45,3,750.5161809132597
AC,5,PM32,3,962.566101630337
AC,5,PM37,3,906.5859817664231
AC,5,PM42,3,837.4782814694616
AC,5,PM33,3,1084.8783777760148
AC,5,MOMB,3,697.8978300180831
AC,5,PM34,3,697.1401324273654
AC,5,PM41,3,861.3405366165466
AC,5,ARUA,3,609.9265352517992
AC,6,PM30,1,1175.0132711575855
AC,6,PM31,1,1193.342965698079
AC,6,PM32,1,1368.3820679524058
AC,6,PM33,1,1273.6528008881285
AC,6,MOMB,1,1274.2882964301853
AC,6,PM34,1,991.0159239341235
AC,6,PM35,1,1006.366475895329
AC,6,PM36,1,1541.3598856243675
AC,6,PM37,1,783.8839542462778
AC,6,TANZ,1,1068.3098823606945
AC,6,PM38,1,999.8607144524299
AC,6,PM39,1,1202.7696649492993
AC,6,PM40,1,1836.5072826359285
AC,6,PM41,1,1488.9268868448783
AC,6,MASS,1,1652.6582727041186
AC,6,PM42,1,1101.6281341582546
AC,6,PM43,1,808.9149344109313
AC,6,PM44,1,1005.6017386579734
AC,6,PM45,1,912.7579737335833
AC,6,MILE,1,1375.626656395221
AC,6,PM46,1,1224.429847559534
AC,6,PM47,1,1231.7696237807709
AC,6,ARUA,1,343.46359311281066
AC,6,PM39,2,1735.033950419796
AC,6,PM33,2,1408.9002277337634
AC,6,PM41,2,1525.5472050545668
AC,6,PM37,2,1041.4231257941549
AC,6,PM45,2,872.5283882588145
AC,6,PM36,2,1232.4623435468038
AC,6,MOMB,2,1198.2024768636343
AC,6,PM31,2,1321.6325299518667
AC,6,PM47,2,1187.228198672465
AC,6,PM43,2,831.8820258273022
AC,6,PM35,2,1572.6308805984602
AC,6,PM30,2,1743.9729128764911
AC,6,PM42,2,1312.4605538321875
AC,6,PM38,2,1217.8867125473798
AC,6,PM46,2,1499.4490743861418
AC,6,TANZ,2,1234.7203464317106
AC,6,PM44,2,1330.1413948852892
AC,6,PM40,2,1782.5883173648122
AC,6,PM32,2,1643.9543778109257
AC,6,PM34,2,1352.4691358024693
AC,6,MILE,2,1284.516651079256
AC,6,MASS,2,1660.168373045101
AC,6,ARUA,2,439.7041550159013
AC,6,PM39,3,1559.1620626151014
AC,6,PM35,3,1057.856562123664
AC,6,PM30,3,1244.7630590865356
AC,6,PM44,3,1106.6354359109703
AC,6,PM36,3,1709.3355086081172
AC,6,PM31,3,1343.1340520527056
AC,6,PM47,3,1122.2452765411908
AC,6,PM43,3,999.7864933699988
AC,6,PM38,3,848.3065438213457
AC,6,PM40,3,1184.0532554201666
AC,6,MASS,3,1579.8535269176414
AC,6,PM46,3,1193.1048030645322
AC,6,TANZ,3,988.6029411764706
AC,6,MILE,3,1197.4600182608003
AC,6,PM45,3,860.4002733143778
AC,6,PM32,3,1614.3536679313206
AC,6,PM37,3,915.3375240979086
AC,6,PM42,3,1264.6050861571966
AC,6,PM33,3,1268.280002058057
AC,6,MOMB,3,1115.6193895870738
AC,6,PM34,3,902.0446056523523
AC,6,PM41,3,1353.2330140881438
AC,6,ARUA,3,716.2254140998443
AC,7,PM30,1,2171.452584977986
AC,7,PM31,1,1957.4207558590754
AC,7,PM32,1,1693.888147926455
AC,7,PM33,1,1601.7176206548675
AC,7,MOMB,1,1844.2650866331958
AC,7,PM34,1,1338.3391018141772
AC,7,PM35,1,1398.8224352801249
AC,7,PM36,1,1879.7510126991654
AC,7,PM37,1,1438.24272529765
AC,7,TANZ,1,1775.9357355718957
AC,7,PM38,1,1475.5450234605441
AC,7,PM39,1,1752.4793489803283
AC,7,PM40,1,2288.6244759401125
AC,7,PM41,1,2406.734020155849
AC,7,MASS,1,2257.9209690895354
AC,7,PM42,1,1838.4169263112697
AC,7,PM43,1,851.0935497423552
AC,7,PM44,1,1944.7420882686756
AC,7,PM45,1,1196.3432237369689
AC,7,MILE,1,1833.1714843908321
AC,7,PM46,1,2011.1254716182113
AC,7,PM47,1,2233.6870179688676
